	Price	Dividend	Volume	Matches	Attempt Buys	Attempt Sells	Interest Rates	Total Bid	Total Ask	Total Buys	Total Sells	Profit per Units
282	59.24453354847624	9.845400735974815	4.109146538797035	1	34	1	0.1	4.109146538797035	51.34025479070824	1	34	-12.63094585696175
283	84.12488620308412	9.835103429903944	7.809339721222236	4	4	57	0.1	148.22642311630574	7.809339721222236	57	4	34.71545608451182
284	62.83021619425679	9.835154045103232	4.698980422955448	2	41	2	0.1	4.698980422955448	82.74083155819578	2	41	-11.459515963724092
285	96.88219031999814	9.96303185710857	4.955586252673484	2	2	52	0.1	109.90285921888676	4.955586252673484	52	2	44.01500598284992
286	74.10478952296697	9.786246414192942	12.065707345295152	5	58	5	0.1	12.065707345295152	189.49520534298122	5	58	-12.991154382838236
287	85.34213233369661	10.042214211761673	6.646778393761237	6	6	9	0.1	22.954196278042268	6.646778393761237	9	6	21.279557022491318
288	64.69054644410109	9.961985334327691	7.11980696002211	3	41	3	0.1	7.11980696002211	80.18028429240715	3	41	-10.689600555267832
289	99.16442831288069	9.986283583979711	3.4062259659793312	2	2	56	0.1	107.59280219317155	3.4062259659793312	56	2	44.46016545275931
290	76.47900234227203	9.862963643423951	13.867851368617272	7	58	7	0.1	13.867851368617272	195.96730825716637	7	58	-12.822462327184711
291	77.85292977953107	9.851788191980624	6.992578370683807	7	7	8	0.1	25.669372190887074	6.992578370683807	8	7	11.225715629239666
292	62.89517360349912	10.072794609211984	2.8117519360079113	1	11	1	0.1	2.8117519360079113	11.689013182080004	1	11	-4.884961566819966
293	97.22972149840183	9.871947478532022	3.5674349130758998	2	2	59	0.1	125.11078290203334	3.5674349130758998	59	2	44.206495373434734
294	74.29623361140966	9.99143024822151	9.25876275845108	5	58	5	0.1	9.25876275845108	185.59720707798684	5	58	-12.942057638770658
295	75.20948010663855	9.807762076879893	0.0	0	0	12	0.1	24.583924402020905	0.0	12	0	10.721008572108783
296	100.67861426251363	9.775310344734262	2.711214931203431	3	3	6	0.1	18.419889171079497	2.711214931203431	6	3	35.24444450060935
297	76.89234630956383	9.756499378710664	9.611027831771928	5	61	5	0.1	9.611027831771928	202.55733341348662	5	61	-14.029768574239135
298	77.83157545711758	9.688371119381097	10.36354729799221	7	10	7	0.1	21.49773514710455	10.36354729799221	7	10	10.627600266934843
299	77.15959689938076	9.932844255079392	0.0	0	16	0	0.1	0.0	17.267504962868383	0	16	9.26086569734257
300	77.03304187933028	10.053652433037787	0.0	0	4	0	0.1	0.0	3.2803442510335303	0	4	9.927097412987312
301	76.98937171100341	9.996888003569508	0.0	0	1	0	0.1	0.0	1.133803553941772	0	1	9.953217835242638
302	76.98937171100341	9.800928764945738	0.0	0	0	0	0.1	0.0	0.0	0	0	9.800928764945738
303	76.35186937467316	9.986238491436444	0.7727479828344054	1	9	1	0.1	0.7727479828344054	9.990765403323746	1	9	9.348736155106186
304	76.22610219499528	10.12295050773615	0.0	0	1	0	0.1	0.0	3.2944099655430503	0	1	9.99718332805827
305	76.3329236454484	10.28123352934665	0.0	0	0	3	0.1	2.8027525316684145	0.0	3	0	10.388054979799776
306	76.69666009619765	10.0371875994379	0.0	0	0	10	0.1	9.530263833172112	0.0	10	0	10.400924050187143
307	76.58121746816332	10.298089326129478	0.0	0	2	0	0.1	0.0	3.010369105761238	0	2	10.182646698095148
308	76.92062572226925	10.407190621179778	0.0	0	0	9	0.1	8.864007790083186	0.0	9	0	10.746598875285711
309	77.29338659132739	10.148106342486821	0.0	0	0	8	0.1	9.692091439922374	0.0	8	0	10.520867211544962
310	82.46956404552623	9.974085354817035	0.9370147555899937	1	3	1	0.1	0.9370147555899937	5.192287320504203	1	3	15.15026280901587
311	63.5861494020033	9.900540605552491	0.8007125120339538	1	31	1	0.1	0.8007125120339538	52.53313668298317	1	31	-8.982874037970435
312	89.04187014256829	9.724694601666531	13.509831199457674	4	4	57	0.1	116.39281347016576	13.509831199457674	57	4	35.18041534223151
313	66.34452324015409	9.757579702629403	2.244339592728963	2	51	2	0.1	2.244339592728963	125.05443417212356	2	51	-12.939767199784793
314	92.71044267752438	9.641324709044884	12.455325295540774	3	3	47	0.1	80.23235262926052	12.455325295540774	47	3	36.007244146415175
315	68.96582897559227	9.845540256071319	3.4109769374464634	2	56	2	0.1	3.4109769374464634	176.5270911952441	2	56	-13.899073445860791
316	95.6523653599355	10.082154934935103	10.400901236383163	3	3	35	0.1	56.31182456717171	10.400901236383163	35	3	36.76869131927833
317	72.37966816020061	9.879747226194915	8.657408851763044	3	56	3	0.1	8.657408851763044	176.82748544406616	3	56	-13.392949973539977
318	61.72236139133431	9.720236756113792	12.815215714444513	5	5	19	0.1	30.998820702056804	12.815215714444513	19	5	-0.9370700127525069
319	83.8800200858963	9.542480326959081	12.42725880294116	5	5	53	0.1	109.27568857924203	12.42725880294116	53	5	31.700139021521075
320	79.81076837446182	9.762563710830491	0.0	0	41	0	0.1	0.0	97.0255302101126	0	41	5.693311999396002
321	77.74678144044641	10.005512340504454	0.0	0	27	0	0.1	0.0	51.72201636579757	0	27	7.941525406489051
322	58.29148564980828	9.823325188096828	2.094907093866823	2	12	2	0.1	2.094907093866823	25.99916876548105	2	12	-9.631970602541305
323	83.06419139677392	10.056680373263061	10.94246870750644	4	4	58	0.1	145.80308105648948	10.94246870750644	58	4	34.829386120228705
324	63.00269108206976	9.928748031469066	12.306440158434622	3	36	3	0.1	12.306440158434622	71.04974143331869	3	36	-10.132752283235096
325	87.61257287492198	9.883691630949563	12.668125204242013	4	4	53	0.1	110.64461058668647	12.668125204242013	53	4	34.493573423801784
326	66.78636903663528	9.632208751608955	11.502614351128381	4	47	4	0.1	11.502614351128381	118.38932152938273	4	47	-11.193995086677747
327	69.05738000406438	9.616182618145348	15.778586163339254	9	9	39	0.1	62.43153152403074	15.778586163339254	39	9	11.887193585574455
328	70.54131079861801	9.801989157783526	13.424723328001463	8	8	25	0.1	37.985539789436736	13.424723328001463	25	8	11.285919952337155
329	64.88334426571296	9.651829399993314	10.168276737997001	8	8	14	0.1	15.96589405540523	10.168276737997001	14	8	3.9938628670882643
330	94.07918796159724	9.73752304087293	7.513906007059569	3	3	34	0.1	42.86286114459887	7.513906007059569	34	3	38.93336673675721
331	70.97849438941046	9.699842766335099	8.796399488958164	3	57	3	0.1	8.796399488958164	195.50635663244125	3	57	-13.400850805851686
332	69.51619058760687	9.504532486510158	10.144817696068754	4	4	7	0.1	14.27578052009801	10.144817696068754	7	4	8.042228684706572
333	94.0907253324839	9.268729879069314	3.136795903454173	3	3	4	0.1	8.740448786041696	3.136795903454173	4	3	33.84326462394634
334	70.6375223375459	9.061105828611538	8.726130197564004	3	63	3	0.1	8.726130197564004	214.17311060418808	3	63	-14.392097166326458
335	59.80089601256328	9.248444725148763	12.484537176789193	4	19	4	0.1	12.484537176789193	23.425122847333007	4	19	-1.5881815998338613
336	86.16792684024064	9.500710877495784	10.870696645474041	7	7	48	0.1	83.46962920397294	10.870696645474041	48	7	35.867741705173145
337	64.0794870085503	9.309894383242467	4.2362701845583075	2	52	2	0.1	4.2362701845583075	160.3559996343196	2	52	-12.77854544844787
338	71.96608573500163	9.454202122374227	9.406598213952671	6	6	25	0.1	34.770894260729534	9.406598213952671	25	6	17.340800848825552
339	51.62942531892959	9.28646973958429	2.7809122220434137	1	21	1	0.1	2.7809122220434137	29.817313780026264	1	21	-11.050190676487746
340	74.18457424509326	9.159900829155903	13.460719285831479	9	9	58	0.1	139.538518704407	13.460719285831479	58	9	31.71504975531957
341	53.065584393104004	9.10958431778932	2.4059730076282566	1	34	1	0.1	2.4059730076282566	72.4880848917695	1	34	-12.009405534199935
342	74.01364880745498	8.952527454584216	12.633297763672898	8	8	49	0.1	108.89032330692801	12.633297763672898	49	8	29.900591868935194
343	52.78323282817283	8.749787907610012	2.1376627540002335	1	42	1	0.1	2.1376627540002335	96.6952355597516	1	42	-12.480628071672145
344	72.18339153027378	8.556092776210448	16.66137143267471	10	10	40	0.1	90.33212498509121	16.66137143267471	40	10	27.9562514783114
345	51.121292748060554	8.455117096210069	1.6932734151012578	1	48	1	0.1	1.6932734151012578	117.71365811014782	1	48	-12.606981686003158
346	70.79993633790025	8.741586821133682	18.996925431639003	12	12	30	0.1	59.68012562797256	18.996925431639003	30	12	28.420230410973375
347	52.140384917836215	8.93725373562632	2.66116471084276	2	43	2	0.1	2.66116471084276	117.79057390206584	2	43	-9.722297684437713
348	79.49431892350087	8.94067948812489	4.334346627668042	3	3	26	0.1	46.94897876174688	4.334346627668042	26	3	36.29461349378954
349	59.508472122937754	8.989821547509406	6.513100028237399	3	53	3	0.1	6.513100028237399	184.58339523719803	3	53	-10.99602525305371
350	57.61667869177292	9.066005671824547	34.85771883613114	19	20	19	0.1	34.85771883613114	37.354534914460764	19	20	7.1742122406597115
